dropoffLocationID,avgTripTimes,sum(total_amount)
106,2022.0,213.72
107,2022.0,1183.6299999999999
108,2022.0,56.46
109,2022.0,96.8
112,2022.0,1327.7099999999998
113,2022.0,1120.12
114,2022.0,934.7900000000002
116,2022.0,608.12
117,2022.0,179.39999999999998
119,2022.0,67.6
121,2022.0,119.47
122,2022.0,105.7
123,2022.0,201.20999999999998
124,2022.0,135.96
125,2022.0,757.0
126,2022.0,58.1
127,2022.0,299.21
129,2022.0,323.93
13,2022.0,866.6800000000001
130,2022.0,302.4700000000001
131,2022.0,89.71000000000001
132,2022.0,1240.4299999999992
