dropoffLocationID,avgTripTimes,sum(total_amount)
180,2022.0,63.69
181,2022.0,2092.6399999999994
182,2022.0,52.6
185,2022.0,126.69999999999999
186,2022.0,2561.549999999999
188,2022.0,624.17
189,2022.0,497.89000000000004
19,2022.0,43.07
191,2022.0,154.2
192,2022.0,35.05
193,2022.0,109.46
195,2022.0,610.22
196,2022.0,132.2
197,2022.0,271.73
198,2022.0,230.67999999999998
200,2022.0,300.89
202,2022.0,509.16
203,2022.0,103.06
204,2022.0,135.1
205,2022.0,252.05000000000007
209,2022.0,1142.23
21,2022.0,159.14999999999998
