dropoffLocationID,avgTripTimes,sum(total_amount)
210,2022.0,299.81
211,2022.0,859.54
212,2022.0,69.6
215,2022.0,226.25
216,2022.0,390.0800000000001
218,2022.0,273.28000000000003
219,2022.0,247.60000000000002
22,2022.0,54.55
220,2022.0,254.22
222,2022.0,28.55
223,2022.0,453.72
224,2022.0,479.99
225,2022.0,479.4
226,2022.0,286.33000000000004
227,2022.0,207.14999999999998
228,2022.0,164.51
229,2022.0,2064.83
230,2022.0,6365.679999999997
231,2022.0,1263.4299999999998
232,2022.0,285.65999999999997
233,2022.0,1262.75
234,2022.0,1246.1100000000001
