dropoffLocationID,avgTripTimes,sum(total_amount)
72,2022.0,406.43000000000006
73,2022.0,85.66
74,2022.0,407.56000000000006
75,2022.0,1502.8899999999996
76,2022.0,329.14
77,2022.0,29.55
78,2022.0,128.7
79,2022.0,1933.0499999999995
80,2022.0,614.9999999999999
81,2022.0,57.6
82,2022.0,152.91
83,2022.0,80.50999999999999
85,2022.0,134.66
86,2022.0,125.05999999999999
87,2022.0,2328.5499999999997
88,2022.0,917.1400000000001
89,2022.0,963.53
9,2022.0,36.55
90,2022.0,2090.6799999999994
91,2022.0,264.76
92,2022.0,251.72000000000003
