dropoffLocationID,avgTripTimes,sum(total_amount)
235,2022.0,64.1
236,2022.0,1515.9199999999998
237,2022.0,1870.56
238,2022.0,1992.58
239,2022.0,2721.469999999999
24,2022.0,279.02
241,2022.0,67.6
242,2022.0,70.44
243,2022.0,705.7200000000001
244,2022.0,642.84
245,2022.0,75.1
246,2022.0,1348.1899999999998
247,2022.0,62.1
249,2022.0,894.7400000000002
25,2022.0,942.3899999999999
252,2022.0,117.6
255,2022.0,1797.1799999999996
256,2022.0,963.28
257,2022.0,331.46999999999997
258,2022.0,237.01000000000005
259,2022.0,68.6
