dropoffLocationID,avgTripTimes,sum(total_amount)
26,2022.0,336.61
260,2022.0,408.14
261,2022.0,1497.42
262,2022.0,1527.7899999999997
263,2022.0,1602.9599999999998
264,2022.0,343.95
265,2022.0,7868.860000000004
28,2022.0,209.07000000000002
29,2022.0,205.62
3,2022.0,56.6
32,2022.0,136.87
33,2022.0,793.8699999999999
35,2022.0,102.45
36,2022.0,604.3199999999999
37,2022.0,690.98
38,2022.0,93.55
39,2022.0,544.02
4,2022.0,350.40000000000003
40,2022.0,373.3
41,2022.0,967.0000000000001
42,2022.0,573.8500000000001
43,2022.0,560.78
