dropoffLocationID,avgTripTimes,sum(total_amount)
133,2022.0,427.68
134,2022.0,30.61
135,2022.0,105.92
137,2022.0,753.0000000000001
138,2022.0,289.94
139,2022.0,71.2
14,2022.0,470.89
140,2022.0,1298.85
141,2022.0,1960.28
142,2022.0,1802.3199999999997
143,2022.0,790.4
144,2022.0,785.87
145,2022.0,659.8199999999999
146,2022.0,159.64999999999998
148,2022.0,1370.9399999999996
149,2022.0,194.36
15,2022.0,43.55
150,2022.0,93.11
151,2022.0,840.4899999999999
152,2022.0,454.07000000000005
154,2022.0,36.55
155,2022.0,313.5
