dropoffLocationID,avgTripTimes,sum(total_amount)
107,2022.0,252.97000000000003
112,2022.0,114.61000000000001
113,2022.0,96.14
114,2022.0,63.55
116,2022.0,173.78
125,2022.0,57.11
127,2022.0,31.3
129,2022.0,28.3
132,2022.0,481.18000000000006
137,2022.0,30.96
140,2022.0,216.92000000000007
141,2022.0,383.29
142,2022.0,925.7400000000001
143,2022.0,724.79
144,2022.0,29.8
146,2022.0,20.3
148,2022.0,94.30000000000001
151,2022.0,631.3399999999998
152,2022.0,95.05999999999999
157,2022.0,36.0
158,2022.0,119.16
161,2022.0,152.06
