dropoffLocationID,avgTripTimes,sum(total_amount)
232,2022.0,32.76
233,2022.0,186.20999999999998
234,2022.0,250.38000000000005
236,2022.0,1039.9699999999991
237,2022.0,506.59000000000003
238,2022.0,897.2699999999995
239,2022.0,366.67
24,2022.0,229.38
243,2022.0,115.87000000000002
244,2022.0,189.54000000000002
246,2022.0,244.77000000000004
249,2022.0,100.39999999999999
25,2022.0,127.61
255,2022.0,37.56
256,2022.0,36.36
262,2022.0,390.76000000000005
263,2022.0,489.74000000000007
264,2022.0,14.72
33,2022.0,37.56
36,2022.0,41.8
4,2022.0,55.66
41,2022.0,297.94000000000005
