dropoffLocationID,avgTripTimes,sum(total_amount)
237,2022.0,156.86
238,2022.0,172.79000000000002
239,2022.0,134.69
24,2022.0,27.36
243,2022.0,32.8
246,2022.0,84.44999999999999
249,2022.0,135.17
256,2022.0,32.76
257,2022.0,55.3
261,2022.0,45.46
262,2022.0,122.44999999999999
263,2022.0,72.01
264,2022.0,14.76
33,2022.0,29.8
36,2022.0,52.02
4,2022.0,93.41999999999999
42,2022.0,45.8
43,2022.0,80.21000000000001
45,2022.0,53.760000000000005
48,2022.0,206.26000000000002
49,2022.0,43.56
50,2022.0,99.07999999999998
