dropoffLocationID,avgTripTimes,sum(total_amount)
125,2022.0,14.8
129,2022.0,41.3
13,2022.0,72.22
132,2022.0,348.62
137,2022.0,261.24
140,2022.0,258.15000000000003
141,2022.0,459.42999999999995
142,2022.0,248.76000000000002
143,2022.0,97.79
144,2022.0,27.71
145,2022.0,148.70000000000002
146,2022.0,49.55
148,2022.0,286.68
151,2022.0,120.1
158,2022.0,86.32000000000001
161,2022.0,151.74
162,2022.0,182.71
163,2022.0,115.36999999999999
164,2022.0,244.36000000000007
166,2022.0,105.38999999999999
170,2022.0,682.46
173,2022.0,33.3
