dropoffLocationID,avgTripTimes,sum(total_amount)
112,2022.0,54.7
113,2022.0,488.33
114,2022.0,204.18
116,2022.0,29.8
125,2022.0,121.77
13,2022.0,69.17999999999999
132,2022.0,614.46
137,2022.0,137.78
140,2022.0,269.07000000000005
141,2022.0,367.15
142,2022.0,111.47999999999999
143,2022.0,155.19
144,2022.0,89.96
145,2022.0,49.67
146,2022.0,98.9
148,2022.0,340.8500000000001
151,2022.0,122.17999999999999
152,2022.0,30.96
158,2022.0,94.34
161,2022.0,306.07
162,2022.0,220.27000000000004
163,2022.0,289.22
