dropoffLocationID,avgTripTimes,sum(total_amount)
39,2022.0,97.62
4,2022.0,83.45
41,2022.0,63.760000000000005
42,2022.0,70.06
43,2022.0,76.45
45,2022.0,57.86
48,2022.0,364.3400000000001
49,2022.0,115.23
50,2022.0,144.51999999999998
52,2022.0,31.56
65,2022.0,68.15
66,2022.0,31.0
68,2022.0,268.73
7,2022.0,57.120000000000005
74,2022.0,139.45
75,2022.0,187.23000000000002
79,2022.0,654.9200000000001
80,2022.0,41.22
83,2022.0,34.55
87,2022.0,95.61000000000001
88,2022.0,137.26000000000002
90,2022.0,126.64999999999999
