dropoffLocationID,avgTripTimes,sum(total_amount)
232,2022.0,118.01
233,2022.0,339.07
234,2022.0,456.76000000000016
236,2022.0,372.09000000000003
237,2022.0,360.14000000000004
238,2022.0,222.94
239,2022.0,228.66
243,2022.0,85.25
244,2022.0,43.56
246,2022.0,325.6600000000001
247,2022.0,0.0
249,2022.0,181.01000000000002
255,2022.0,66.0
256,2022.0,50.959999999999994
260,2022.0,31.8
261,2022.0,136.41
262,2022.0,204.13000000000002
263,2022.0,317.22
265,2022.0,71.46
33,2022.0,93.50999999999999
36,2022.0,75.41
37,2022.0,32.3
