dropoffLocationID,avgTripTimes,sum(total_amount)
132,2022.0,1137.79
137,2022.0,135.47
138,2022.0,100.42
140,2022.0,287.02000000000004
141,2022.0,491.98000000000013
142,2022.0,649.4299999999996
143,2022.0,281.82
144,2022.0,185.32
145,2022.0,39.6
146,2022.0,17.3
148,2022.0,172.07999999999998
151,2022.0,136.67
152,2022.0,25.63
157,2022.0,32.15
158,2022.0,247.71000000000004
160,2022.0,71.26
161,2022.0,243.95000000000005
162,2022.0,227.12
163,2022.0,161.76
164,2022.0,257.1
165,2022.0,106.97999999999999
