dropoffLocationID,avgTripTimes,sum(total_amount)
116,2022.0,143.72
125,2022.0,77.31
126,2022.0,38.3
127,2022.0,58.1
129,2022.0,79.62
13,2022.0,106.49
132,2022.0,290.79
137,2022.0,137.77
138,2022.0,54.35
140,2022.0,213.26
141,2022.0,499.3400000000001
142,2022.0,272.7100000000001
143,2022.0,629.8499999999998
144,2022.0,83.46000000000001
145,2022.0,60.82000000000001
148,2022.0,53.94
151,2022.0,372.7800000000001
152,2022.0,100.24
158,2022.0,116.51999999999998
160,2022.0,27.8
161,2022.0,267.22
162,2022.0,269.89000000000004
