dropoffLocationID,avgTripTimes,sum(total_amount)
163,2022.0,123.2
164,2022.0,132.08
166,2022.0,118.77999999999999
168,2022.0,32.3
17,2022.0,37.8
170,2022.0,236.69000000000003
181,2022.0,29.3
186,2022.0,121.97
188,2022.0,58.62
189,2022.0,37.55
191,2022.0,70.56
209,2022.0,87.18
211,2022.0,76.32
220,2022.0,94.91999999999999
224,2022.0,41.900000000000006
228,2022.0,83.7
229,2022.0,243.57000000000005
230,2022.0,447.53000000000014
231,2022.0,403.42999999999995
232,2022.0,138.54
233,2022.0,94.60000000000001
