dropoffLocationID,avgTripTimes,sum(total_amount)
127,2022.0,31.56
132,2022.0,293.16999999999996
135,2022.0,64.6
137,2022.0,53.6
140,2022.0,195.18000000000004
141,2022.0,312.26000000000005
142,2022.0,562.0799999999999
143,2022.0,452.69000000000005
144,2022.0,66.94
145,2022.0,21.8
148,2022.0,97.55999999999999
151,2022.0,313.39000000000004
152,2022.0,35.400000000000006
161,2022.0,84.75
163,2022.0,105.15
164,2022.0,44.25
166,2022.0,398.08000000000004
168,2022.0,21.8
170,2022.0,20.8
181,2022.0,52.6
186,2022.0,56.400000000000006
200,2022.0,35.38
