dropoffLocationID,avgTripTimes,sum(total_amount)
236,2022.0,1618.7699999999986
237,2022.0,1868.359999999999
238,2022.0,1131.7299999999993
239,2022.0,1012.9599999999997
24,2022.0,219.91000000000003
243,2022.0,60.56
244,2022.0,59.43
246,2022.0,276.96999999999997
249,2022.0,148.03
256,2022.0,35.0
260,2022.0,28.8
261,2022.0,33.7
262,2022.0,755.7599999999999
263,2022.0,650.3599999999999
4,2022.0,54.71
41,2022.0,325.90000000000003
42,2022.0,120.12
43,2022.0,462.7500000000001
45,2022.0,28.8
48,2022.0,243.01
50,2022.0,57.75
52,2022.0,39.95
