dropoffLocationID,avgTripTimes,sum(total_amount)
24,2022.0,92.78999999999999
243,2022.0,176.57
244,2022.0,241.73000000000002
246,2022.0,461.98999999999995
249,2022.0,320.9700000000001
25,2022.0,78.3
261,2022.0,74.96
262,2022.0,83.66000000000001
263,2022.0,160.55000000000004
265,2022.0,76.8
4,2022.0,70.72
41,2022.0,287.36
42,2022.0,76.4
43,2022.0,86.0
45,2022.0,31.55
48,2022.0,544.6300000000002
50,2022.0,201.58000000000004
61,2022.0,53.45
65,2022.0,40.69
66,2022.0,42.25
68,2022.0,712.2599999999999
