dropoffLocationID,avgTripTimes,sum(total_amount)
132,2022.0,645.97
137,2022.0,21.36
138,2022.0,105.27000000000001
14,2022.0,57.96
140,2022.0,126.42999999999999
141,2022.0,165.67000000000002
142,2022.0,333.8200000000001
143,2022.0,369.78000000000003
144,2022.0,132.88
145,2022.0,100.55000000000001
148,2022.0,73.61
151,2022.0,124.17
152,2022.0,48.3
158,2022.0,313.74999999999994
160,2022.0,39.35
161,2022.0,131.03
162,2022.0,195.04
163,2022.0,204.98000000000002
164,2022.0,211.11
166,2022.0,142.75
170,2022.0,190.32
179,2022.0,30.9
