dropoffLocationID,avgTripTimes,sum(total_amount)
112,2022.0,71.07000000000001
113,2022.0,216.31
114,2022.0,92.98
123,2022.0,54.85
13,2022.0,55.32
132,2022.0,521.59
137,2022.0,103.43
140,2022.0,141.73000000000002
141,2022.0,175.98000000000002
142,2022.0,106.56
143,2022.0,96.52999999999999
144,2022.0,17.76
145,2022.0,28.1
148,2022.0,93.98
151,2022.0,21.04
158,2022.0,28.3
161,2022.0,89.49000000000001
162,2022.0,44.51
163,2022.0,68.11
164,2022.0,141.54
170,2022.0,178.02
186,2022.0,27.560000000000002
