dropoffLocationID,avgTripTimes,sum(total_amount)
225,2022.0,32.15
227,2022.0,34.8
228,2022.0,36.8
229,2022.0,145.92
230,2022.0,316.75000000000006
231,2022.0,184.88000000000002
232,2022.0,130.22
233,2022.0,160.04999999999998
234,2022.0,329.2300000000001
236,2022.0,206.7
237,2022.0,133.14000000000001
238,2022.0,154.0
239,2022.0,153.17
243,2022.0,44.3
246,2022.0,109.21000000000001
249,2022.0,93.44
25,2022.0,69.62
255,2022.0,48.11
256,2022.0,38.05
262,2022.0,190.97000000000003
263,2022.0,70.35
36,2022.0,54.1
