dropoffLocationID,avgTripTimes,sum(total_amount)
14,2022.0,38.85
140,2022.0,65.44
141,2022.0,190.89000000000001
142,2022.0,170.36
143,2022.0,137.9
144,2022.0,35.150000000000006
146,2022.0,60.71000000000001
148,2022.0,115.62
151,2022.0,95.19
158,2022.0,166.14999999999998
159,2022.0,35.3
161,2022.0,177.83000000000004
162,2022.0,174.19
163,2022.0,151.66
164,2022.0,156.55
170,2022.0,285.16
181,2022.0,31.63
186,2022.0,143.24
189,2022.0,28.3
209,2022.0,49.16
211,2022.0,49.769999999999996
224,2022.0,12.8
