dropoffLocationID,avgTripTimes,sum(total_amount)
100,2022.0,182.34000000000003
106,2022.0,57.760000000000005
107,2022.0,410.41
112,2022.0,73.42
113,2022.0,360.16
114,2022.0,186.59999999999997
116,2022.0,44.76
125,2022.0,14.8
127,2022.0,95.03999999999999
13,2022.0,111.71000000000001
132,2022.0,325.65999999999997
137,2022.0,211.79000000000002
138,2022.0,85.11
14,2022.0,43.35
140,2022.0,179.78
141,2022.0,246.76000000000008
142,2022.0,189.16000000000003
143,2022.0,73.92
144,2022.0,263.4200000000001
145,2022.0,91.79
146,2022.0,22.8
