dropoffLocationID,avgTripTimes,sum(total_amount)
148,2022.0,363.59000000000003
151,2022.0,87.46
157,2022.0,25.8
158,2022.0,140.04
161,2022.0,172.99
162,2022.0,184.82999999999998
163,2022.0,58.620000000000005
164,2022.0,201.67000000000002
166,2022.0,33.96
17,2022.0,30.96
170,2022.0,497.5000000000001
179,2022.0,93.50999999999999
186,2022.0,178.93999999999997
188,2022.0,66.91
189,2022.0,54.72
193,2022.0,31.0
209,2022.0,63.099999999999994
211,2022.0,152.38
217,2022.0,27.36
224,2022.0,118.41
225,2022.0,35.76
226,2022.0,72.35
