dropoffLocationID,avgTripTimes,sum(total_amount)
229,2022.0,370.8000000000001
230,2022.0,288.82000000000005
231,2022.0,220.28000000000003
232,2022.0,229.73000000000005
233,2022.0,300.9000000000001
234,2022.0,392.00000000000006
236,2022.0,227.97
237,2022.0,152.82
238,2022.0,255.38000000000005
239,2022.0,189.52999999999997
24,2022.0,58.349999999999994
244,2022.0,122.61
246,2022.0,178.5
249,2022.0,123.75999999999999
25,2022.0,18.8
255,2022.0,20.16
256,2022.0,49.900000000000006
261,2022.0,169.33
262,2022.0,300.96
263,2022.0,330.05
264,2022.0,22.55
