dropoffLocationID,avgTripTimes,sum(total_amount)
140,2022.0,80.46
141,2022.0,67.46
142,2022.0,192.57000000000002
143,2022.0,145.26
144,2022.0,42.6
145,2022.0,59.620000000000005
148,2022.0,170.01999999999998
152,2022.0,23.3
158,2022.0,144.13
161,2022.0,182.76000000000002
162,2022.0,214.47
163,2022.0,273.88000000000005
164,2022.0,148.89999999999998
166,2022.0,53.36
170,2022.0,203.15000000000003
186,2022.0,163.63
198,2022.0,43.62
202,2022.0,32.24
224,2022.0,75.67
229,2022.0,93.51
230,2022.0,453.4600000000001
231,2022.0,210.07000000000002
