dropoffLocationID,avgTripTimes,sum(total_amount)
114,2022.0,196.38
116,2022.0,38.3
12,2022.0,25.3
125,2022.0,51.35
13,2022.0,54.75
132,2022.0,957.35
137,2022.0,109.38000000000001
138,2022.0,130.49
140,2022.0,127.61999999999999
141,2022.0,401.35
142,2022.0,180.51000000000002
143,2022.0,132.85999999999999
144,2022.0,87.49
145,2022.0,41.39
148,2022.0,132.3
151,2022.0,46.1
158,2022.0,135.67
160,2022.0,36.85
161,2022.0,150.0
162,2022.0,176.82000000000002
163,2022.0,247.85000000000002
164,2022.0,291.00000000000006
