dropoffLocationID,avgTripTimes,sum(total_amount)
41,2022.0,263.89
42,2022.0,285.9
43,2022.0,92.32
45,2022.0,47.81
48,2022.0,845.3600000000001
49,2022.0,484.59999999999997
50,2022.0,527.14
51,2022.0,42.1
53,2022.0,85.3
55,2022.0,64.05
56,2022.0,55.150000000000006
60,2022.0,31.85
61,2022.0,194.95999999999998
62,2022.0,185.97000000000003
64,2022.0,41.81
65,2022.0,402.11999999999995
66,2022.0,108.78999999999999
67,2022.0,53.55
68,2022.0,886.7299999999999
69,2022.0,76.7
7,2022.0,284.90000000000003
70,2022.0,104.41
