dropoffLocationID,avgTripTimes,sum(total_amount)
163,2022.0,1081.1500000000003
164,2022.0,1109.55
165,2022.0,61.01
166,2022.0,197.36
168,2022.0,62.870000000000005
169,2022.0,75.2
17,2022.0,334.64
170,2022.0,887.6000000000001
171,2022.0,45.6
173,2022.0,13.3
177,2022.0,176.85000000000002
179,2022.0,100.74999999999999
181,2022.0,582.15
182,2022.0,81.7
185,2022.0,49.6
186,2022.0,244.64999999999998
188,2022.0,157.55
189,2022.0,212.60000000000002
192,2022.0,19.05
193,2022.0,21.05
194,2022.0,51.72
195,2022.0,46.55
