dropoffLocationID,avgTripTimes,sum(total_amount)
196,2022.0,87.22
197,2022.0,28.05
198,2022.0,191.53000000000003
200,2022.0,117.94
202,2022.0,68.31
205,2022.0,40.86
209,2022.0,242.88000000000002
21,2022.0,71.55
211,2022.0,165.4
212,2022.0,48.1
213,2022.0,42.6
214,2022.0,93.1
215,2022.0,179.82999999999998
216,2022.0,131.32999999999998
218,2022.0,42.05
220,2022.0,183.03
223,2022.0,176.73000000000002
224,2022.0,188.13
225,2022.0,200.22
226,2022.0,93.62
227,2022.0,68.95
228,2022.0,132.42000000000002
