dropoffLocationID,avgTripTimes,sum(total_amount)
137,2022.0,369.14000000000004
138,2022.0,67.28999999999999
14,2022.0,47.05
140,2022.0,656.4700000000001
141,2022.0,1045.92
142,2022.0,739.04
143,2022.0,459.33000000000004
144,2022.0,138.62
145,2022.0,262.61
146,2022.0,253.64000000000004
147,2022.0,63.7
148,2022.0,190.32999999999998
151,2022.0,309.98
152,2022.0,38.87
155,2022.0,73.25
157,2022.0,67.94
158,2022.0,476.39000000000004
16,2022.0,101.53999999999999
160,2022.0,40.85
161,2022.0,876.54
162,2022.0,1291.39
