dropoffLocationID,avgTripTimes,sum(total_amount)
162,2022.0,287.78000000000003
163,2022.0,301.68000000000006
164,2022.0,233.82
166,2022.0,71.57000000000001
168,2022.0,27.36
170,2022.0,460.2200000000001
179,2022.0,68.15
181,2022.0,176.67000000000002
186,2022.0,149.18
188,2022.0,48.5
193,2022.0,18.2
202,2022.0,71.42999999999999
209,2022.0,60.06
211,2022.0,167.71
217,2022.0,24.3
223,2022.0,54.7
224,2022.0,86.27
226,2022.0,81.0
229,2022.0,680.4599999999999
230,2022.0,280.2800000000001
231,2022.0,556.9699999999999
232,2022.0,24.95
