dropoffLocationID,avgTripTimes,sum(total_amount)
114,2022.0,184.97000000000003
116,2022.0,169.27
123,2022.0,62.2
125,2022.0,123.87
127,2022.0,31.3
129,2022.0,197.01000000000002
13,2022.0,63.11
132,2022.0,79.62
137,2022.0,74.36
140,2022.0,487.62000000000006
141,2022.0,564.5600000000001
142,2022.0,756.13
143,2022.0,362.1900000000001
144,2022.0,107.43
145,2022.0,66.12
146,2022.0,9.36
148,2022.0,52.05
151,2022.0,190.28
152,2022.0,51.11
157,2022.0,25.8
158,2022.0,130.04000000000002
161,2022.0,344.7800000000001
