dropoffLocationID,avgTripTimes,sum(total_amount)
164,2022.0,292.95
166,2022.0,79.32
170,2022.0,229.48000000000002
179,2022.0,23.75
186,2022.0,310.81000000000006
189,2022.0,43.56
193,2022.0,45.7
202,2022.0,23.16
209,2022.0,30.96
211,2022.0,155.23
216,2022.0,79.62
223,2022.0,54.72
224,2022.0,59.56
225,2022.0,52.6
226,2022.0,42.46
229,2022.0,379.9500000000001
230,2022.0,255.59000000000006
231,2022.0,102.39000000000001
232,2022.0,73.31
233,2022.0,169.70000000000005
234,2022.0,446.5500000000001
236,2022.0,502.05
