dropoffLocationID,avgTripTimes,sum(total_amount)
230,2022.0,268.42
231,2022.0,162.14000000000001
232,2022.0,143.58
233,2022.0,331.67999999999995
234,2022.0,320.8300000000001
236,2022.0,432.3499999999999
237,2022.0,366.9700000000001
238,2022.0,217.44000000000003
239,2022.0,209.35
24,2022.0,55.8
240,2022.0,47.8
243,2022.0,79.36
244,2022.0,62.86
246,2022.0,127.21999999999998
249,2022.0,377.29
25,2022.0,73.53999999999999
250,2022.0,45.96
255,2022.0,41.05
256,2022.0,68.91
257,2022.0,45.36
260,2022.0,25.8
