dropoffLocationID,avgTripTimes,sum(total_amount)
116,2022.0,87.36
123,2022.0,62.85
124,2022.0,97.85
125,2022.0,74.81
129,2022.0,57.25
13,2022.0,89.91
132,2022.0,522.12
137,2022.0,289.8
140,2022.0,378.61000000000007
141,2022.0,405.54
142,2022.0,313.8800000000001
143,2022.0,125.86
144,2022.0,309.74
145,2022.0,21.04
146,2022.0,43.75
148,2022.0,360.54999999999995
151,2022.0,152.87
152,2022.0,50.96
158,2022.0,187.45000000000005
161,2022.0,222.25000000000006
162,2022.0,261.15000000000003
163,2022.0,153.62
