dropoffLocationID,avgTripTimes,sum(total_amount)
233,2022.0,152.02
234,2022.0,92.82
236,2022.0,716.0199999999996
237,2022.0,348.03
238,2022.0,365.6400000000001
239,2022.0,324.90000000000003
24,2022.0,92.47999999999999
243,2022.0,56.86
244,2022.0,29.16
246,2022.0,43.1
249,2022.0,30.36
25,2022.0,82.41999999999999
255,2022.0,35.76
262,2022.0,363.1700000000001
263,2022.0,273.6600000000001
264,2022.0,38.76
33,2022.0,31.68
4,2022.0,41.6
41,2022.0,125.72
42,2022.0,138.72
43,2022.0,52.22
48,2022.0,166.27000000000004
